Card_Name,Set,Card_type1,Card_type2,Modal,Mana_Cost,CMC,Phyrexian_Mana,Color,Rarity,Price
Acidic Slime,NEC,Creature,,no,3GG,5.0,no,G,U,0.08
Acidic Sliver,TPR,Creature,,no,BR,2.0,no,BR,U,0.39
Acidic Soil,USG,Sorcery,,no,2R,3.0,no,R,U,2.84
Acid Rain,ME4,Sorcery,,no,3U,4.0,no,U,R,196.56
Acid-Spewer Dragon,DTK,Creature,,no,5B,6.0,no,B,U,0.17
Acid Web Spider,SOM,Creature,,no,3GG,5.0,no,G,U,0.13
Acolyte of Affliction,THB,Creature,,no,2BG,4.0,no,BG,U,0.05
Acolyte of the Inferno,ORI,Creature,,no,2R,3.0,no,R,U,0.07
Acolyte of Xathrid,M10,Creature,,no,B,1.0,no,B,C,0.16
Acolyte's Reward,BNG,Instant,,no,1W,2.0,no,W,U,0.1
Acorn Catapult,CMD,Artifact,,no,4,4.0,no,colorless,R,3.7
Acorn Harvest,TOR,Sorcery,,no,3G,4.0,no,G,C,0.88
Acquire,5DN,Sorcery,,no,3UU,5.0,no,U,R,3.1
Acquisition Octopus,NEO,ArtifactCreature,,no,2U,3.0,no,U,U,0.04
Acquisitions Expert,ZNR,Creature,,no,1B,2.0,no,B,U,0.06
Acridian,USG,Creature,,no,1G,2.0,no,G,C,0.09
Acrobatic Maneuver,KLD,Instant,,no,2W,3.0,no,W,C,0.11
Active Volcano,ME3,Instant,,no,R,1.0,no,R,U,0.08
Act of Aggression,C15,Instant,,no,3RR,5.0,yes,R,U,0.25
Act of Authority,C13,Enchantment,,no,1WW,3.0,no,W,R,2.02
Act of Heroism,A25,Instant,,no,1W,2.0,no,W,C,0.03
Act of Treason,JMP,Sorcery,,no,2R,3.0,no,R,C,0.01
Act on Impulse,M15,Sorcery,,no,2R,3.0,no,R,U,0.16
Adamant Will,VOW,Instant,,no,1W,2.0,no,W,C,0.02
"Adamaro, First to Desire",SOK,LegendaryCreature,,no,1RR,3.0,no,R,R,1.07
Adanto Vanguard,XLN,Creature,,no,1W,2.0,no,W,U,0.21
Adaptive Automaton,2XM,ArtifactCreature,,no,3,3.0,no,colorless,R,2.73
Adaptive Shimmerer,IKO,Creature,,no,5,5.0,no,colorless,C,0.01
Adaptive Snapjaw,GTC,Creature,,no,4G,5.0,no,G,C,0.01
Adarkar Sentinel,ME2,ArtifactCreature,,no,5,5.0,no,colorless,C,0.18
Adarkar Unicorn,ICE,Creature,,no,1WW,3.0,no,W,C,0.08
Adarkar Valkyrie,C18,SnowCreature,,no,4WW,6.0,no,W,R,0.85
Adarkar Wastes,10E,Land,,no,,0.0,no,colorless,R,6.27
Adarkar Windform,CSP,SnowCreature,,no,4U,5.0,no,U,U,0.21
Adder-Staff Boggart,LRW,Creature,,no,1R,2.0,no,R,C,0.08
Addle,VMA,Sorcery,,no,1B,2.0,no,B,C,0.26
"Adeline, Resplendent Cathar",MID,LegendaryCreature,,no,1WW,3.0,no,W,R,5.39
"Adeliz, the Cinder Wind",DOM,LegendaryCreature,,no,1UR,3.0,no,UR,U,0.16
Adherent of Hope,M21,Creature,,no,1W,2.0,no,W,C,0.06
Admiral Beckett Brass,XLN,LegendaryCreature,,no,1UBR,4.0,no,UBR,M,0.35
Admiral's Order,RIX,Instant,,no,1UU,3.0,no,U,R,0.29
Admonition Angel,ZNC,Creature,,no,3WWW,6.0,no,W,M,0.54
Ad Nauseam,2XM,Instant,,no,3BB,5.0,no,B,R,10.7
Adorned Pouncer,HOU,Creature,,no,1W,2.0,no,W,R,0.43
"Adriana, Captain of the Guard",C20,LegendaryCreature,,no,3RW,5.0,no,WR,R,0.26
"Adrix and Nev, Twincasters",C21,LegendaryCreature,,no,2GU,4.0,no,UG,M,4.66
Adult Gold Dragon,AFR,Creature,,no,3RW,5.0,no,WR,R,0.32
Adun Oakenshield,ME1,LegendaryCreature,,no,BRG,3.0,no,BRG,R,182.53
Advanced Hoverguard,5DN,Creature,,no,3U,4.0,no,U,C,0.04
Advanced Stitchwing,GNT,Creature,,no,3UU,5.0,no,U,U,0.07
Advance Scout,TMP,Creature,,no,1W,2.0,no,W,C,0.06
Advent of the Wurm,MM3,Instant,,no,1GGW,4.0,no,WG,R,0.24
Adventure Awaits,ZNR,Sorcery,,no,1G,2.0,no,G,C,0.02
Adventurers' Guildhouse,LEG,Land,,no,,0.0,no,colorless,U,17.27
Adventuring Gear,ZEN,Artifact,,no,1,1.0,no,colorless,C,0.16
Adventurous Impulse,IKO,Sorcery,,no,G,1.0,no,G,C,0.02
Adverse Conditions,BFZ,Instant,,no,3U,4.0,no,U,U,0.12
Advice from the Fae,SHM,Sorcery,,no,2U2U2U,9.0,no,U,U,0.21
Advocate of the Beast,M14,Creature,,no,2G,3.0,no,G,C,0.08
"Aegar, the Freezing Flame",KHM,LegendaryCreature,,no,1UR,3.0,no,UR,U,0.04
Aegis Angel,E01,Creature,,no,4WW,6.0,no,W,R,0.24
Aegis Automaton,AER,ArtifactCreature,,no,2,2.0,no,colorless,C,0.03
Aegis of Honor,ODY,Enchantment,,no,W,1.0,no,W,R,1.32
Aegis of the Gods,JOU,EnchantmentCreature,,no,1W,2.0,no,W,R,1.77
Aegis of the Heavens,JMP,Instant,,no,1W,2.0,no,W,U,0.1
Aegis of the Meek,ICE,Artifact,,no,3,3.0,no,colorless,R,1.24
Aegis Turtle,JMP,Creature,,no,U,1.0,no,U,C,0.05
Aeolipile,ME2,Artifact,,no,2,2.0,no,colorless,C,2.45
Aeon Chronicler,TSR,Creature,,no,3UU,5.0,no,U,R,0.17
Aeon Engine,C19,Artifact,,no,5,5.0,no,colorless,R,0.19
Aerathi Berserker,LEG,Creature,,no,2RRR,5.0,no,R,U,4.76
Aerial Assault,JMP,Sorcery,,no,2W,3.0,no,W,C,0.02
Aerial Caravan,MMQ,Creature,,no,4UU,6.0,no,U,R,0.28
Aerial Engineer,M19,Creature,,no,2WU,4.0,no,WU,U,0.01
Aerial Extortionist,NCC,Creature,,no,3WW,5.0,no,W,R,1.8
Aerial Formation,JOU,Instant,,no,U,1.0,no,U,C,0.06
Aerial Guide,HOU,Creature,,no,2U,3.0,no,U,C,0.02
Aerial Maneuver,GTC,Instant,,no,1W,2.0,no,W,C,0.01
Aerial Modification,AER,Enchantment,,no,4W,5.0,no,W,U,0.09
Aerial Predation,IMA,Instant,,no,2G,3.0,no,G,C,0.04
Aerial Responder,C20,Creature,,no,1WW,3.0,no,W,U,0.09
Aerial Surveyor,NEC,Artifact,,no,2W,3.0,no,W,R,0.5
Aerial Volley,ORI,Instant,,no,G,1.0,no,G,C,0.03
Aerie Bowmasters,DTK,Creature,,no,2GG,4.0,no,G,C,0.06
Aerie Mystics,CMA,Creature,,no,4W,5.0,no,W,U,0.07
Aerie Ouphes,EVE,Creature,,no,4G,5.0,no,G,C,0.2
Aerie Worshippers,BNG,Creature,,no,3U,4.0,no,U,U,0.07
Aeromoeba,MH2,Creature,,no,3U,4.0,no,U,C,0.01
Aeromunculus,RNA,Creature,,no,1GU,3.0,no,UG,C,0.02
Aeronaut Admiral,NEC,Creature,,no,3W,4.0,no,W,U,0.1
Aeronaut Tinkerer,M15,Creature,,no,2U,3.0,no,U,C,0.04
"Aesi, Tyrant of Gyre Strait",CMR,LegendaryCreature,,no,4GU,6.0,no,UG,M,7.63
Aesthir Glider,DOM,ArtifactCreature,,no,3,3.0,no,colorless,C,0.01
Aether Adept,DDM,Creature,,no,1UU,3.0,no,U,C,0.14
Aether Barrier,NEM,Enchantment,,no,2U,3.0,no,U,R,2.5
Aetherborn Marauder,KLD,Creature,,no,3B,4.0,no,B,U,0.07
Aether Burst,ODY,Instant,,no,1U,2.0,no,U,C,0.12
Aether Charge,ONS,Enchantment,,no,4R,5.0,no,R,U,0.17
Aether Chaser,AER,Creature,,no,1R,2.0,no,R,C,0.05
Aether Figment,DDM,Creature,,no,1U,2.0,no,U,U,0.13
Aetherflame Wall,TSP,Creature,,no,1R,2.0,no,R,C,0.09
Aether Flash,7ED,Enchantment,,no,2RR,4.0,no,R,U,0.64
Aetherflux Reservoir,KLD,Artifact,,no,4,4.0,no,colorless,R,14.86
Aether Gale,C21,Sorcery,,no,3UU,5.0,no,U,R,0.65
Aethergeode Miner,AER,Creature,,no,1W,2.0,no,W,R,0.14
Aether Gust,M20,Instant,,no,1U,2.0,no,U,U,0.32
Aether Helix,STX,Sorcery,,no,3GU,5.0,no,UG,U,0.01
Aether Herder,AER,Creature,,no,3G,4.0,no,G,C,0.04
Aether Hub,KLD,Land,,no,,0.0,no,colorless,U,0.12
Aether Inspector,AER,Creature,,no,3W,4.0,no,W,C,0.02
Aetherize,ZNC,Instant,,no,3U,4.0,no,U,U,0.53
Aetherling,DGM,Creature,,no,4UU,6.0,no,U,R,0.22
Aethermage's Touch,C18,Instant,,no,2WU,4.0,no,WU,R,0.1
Aether Meltdown,KLD,Enchantment,,no,1U,2.0,no,U,U,0.04
Aether Membrane,DDI,Creature,,no,1RR,3.0,no,R,U,0.54
Aether Mutation,VMA,Sorcery,,no,3GU,5.0,no,UG,U,0.2
Aetherplasm,GPT,Creature,,no,2UU,4.0,no,U,U,0.25
Aether Poisoner,AER,Creature,,no,1B,2.0,no,B,C,0.08
Aether Rift,INV,Enchantment,,no,1RG,3.0,no,RG,R,0.77
Aether Searcher,CNS,ArtifactCreature,,no,7,7.0,no,colorless,R,0.16
Aethershield Artificer,M19,Creature,,no,3W,4.0,no,W,U,0.13
Aether Shockwave,SOK,Instant,,no,3W,4.0,no,W,U,1.6
Aether Snap,NCC,Sorcery,,no,3BB,5.0,no,B,R,0.25
Aethersnatch,C15,Instant,,no,4UU,6.0,no,U,R,1.39
Aethersnipe,UMA,Creature,,no,5U,6.0,no,U,C,0.07
Aether Spellbomb,JMP,Artifact,,no,1,1.0,no,colorless,C,0.24
Aethersphere Harvester,AER,Artifact,,no,3,3.0,no,colorless,R,0.38
Aetherspouts,MIC,Instant,,no,3UU,5.0,no,U,R,0.2
Aethersquall Ancient,KLD,Creature,,no,5UU,7.0,no,U,R,0.15
Aether Sting,UDS,Enchantment,,no,3R,4.0,no,R,U,0.3
Aether Storm,ME2,Enchantment,,no,3U,4.0,no,U,U,0.19
Aetherstorm Roc,KLD,Creature,,no,2WW,4.0,no,W,R,0.1
Aetherstream Leopard,AER,Creature,,no,2G,3.0,no,G,C,0.04
Aether Swooper,AER,Creature,,no,1U,2.0,no,U,C,0.04
Aether Theorist,KLD,Creature,,no,1U,2.0,no,U,C,0.03
Aether Tide,EXO,Sorcery,,no,XU,1.0,no,U,C,0.1
Aethertide Whale,AER,Creature,,no,4UU,6.0,no,U,R,0.11
Aethertorch Renegade,KLD,Creature,,no,2R,3.0,no,R,U,0.05
Aethertow,MM3,Instant,,no,3WU,5.0,no,WU,C,0.03
Aether Tradewinds,KLD,Instant,,no,2U,3.0,no,U,C,0.02
Aether Tunnel,M19,Enchantment,,no,1U,2.0,no,U,U,0.27
Aether Vial,IMA,Artifact,,no,1,1.0,no,colorless,R,22.99
Aether Web,TSP,Enchantment,,no,1G,2.0,no,G,C,0.11
Aetherwind Basker,AER,Creature,,no,4GGG,7.0,no,G,M,0.34
Aetherworks Marvel,KLD,LegendaryArtifact,,no,4,4.0,no,colorless,M,3.04
"Aeve, Progenitor Ooze",MH2,LegendaryCreature,,no,2GGG,5.0,no,G,R,0.09
Affa Guard Hound,JMP,Creature,,no,2W,3.0,no,W,U,0.04
Affa Protector,OGW,Creature,,no,2W,3.0,no,W,C,0.02
Affectionate Indrik,JMP,Creature,,no,5G,6.0,no,G,U,0.01
Afflict,10E,Instant,,no,2B,3.0,no,B,C,0.05
Afflicted Deserter//Werewolf Ransacker,DKA,Creature,Creature,yes,3R,4.0,no,R,U,0.35
Afiya Grove,MIR,Enchantment,,no,1G,2.0,no,G,R,2.6
Afterlife,C14,Instant,,no,2W,3.0,no,W,U,0.16
Aftershock,TPR,Sorcery,,no,2RR,4.0,no,R,C,0.22
Agadeem Occultist,WWK,Creature,,no,2B,3.0,no,B,R,0.37
"Agadeem's Awakening//Agadeem, the Undercrypt",ZNR,Sorcery,Land,yes,XBBB,3.0,no,B,M,16.07
Ageless Entity,C21,Creature,,no,3GG,5.0,no,G,R,0.13
Ageless Guardian,STX,Creature,,no,1W,2.0,no,W,C,0.01
Ageless Sentinels,SCG,Creature,,no,3W,4.0,no,W,R,0.14
Agent of Acquisitions,CNS,ArtifactCreature,,no,2,2.0,no,colorless,U,0.2
Agent of Erebos,JOU,EnchantmentCreature,,no,3B,4.0,no,B,U,0.5
Agent of Horizons,THS,Creature,,no,2G,3.0,no,G,C,0.01
Agent of Masks,MM3,Creature,,no,3WB,5.0,no,WB,U,0.21
Agent of Shauku,PCY,Creature,,no,1B,2.0,no,B,C,0.06
Agent of Stromgald,ALL,Creature,,no,R,1.0,no,R,C,0.1
Agent of the Fates,THS,Creature,,no,1BB,3.0,no,B,R,0.24
Agent of Treachery,M20,Creature,,no,5UU,7.0,no,U,R,6.73
Agent's Toolkit,NCC,Artifact,,no,1GU,3.0,no,UG,R,0.51
Aggravate,AVR,Instant,,no,3RR,5.0,no,R,U,0.06
Aggravated Assault,ONS,Enchantment,,no,2R,3.0,no,R,R,37.26
Aggression,ICE,Enchantment,,no,2R,3.0,no,R,U,0.16
Aggressive Instinct,GS1,Sorcery,,no,1G,2.0,no,G,C,0.14
Aggressive Mammoth,M20,Creature,,no,3GGG,6.0,no,G,R,0.48
Aggressive Mining,M15,Enchantment,,no,3R,4.0,no,R,R,0.26
Aggressive Urge,JMP,Instant,,no,1G,2.0,no,G,C,0.01
Agility,MIR,Enchantment,,no,1R,2.0,no,R,C,0.12
Agitator Ant,NCC,Creature,,no,2R,3.0,no,R,R,0.09
Agonizing Demise,DDH,Instant,,no,3B,4.0,no,B,C,0.11
Agonizing Memories,10E,Sorcery,,no,2BB,4.0,no,B,U,0.1
Agonizing Remorse,THB,Sorcery,,no,1B,2.0,no,B,U,0.04
Agonizing Syphon,JMP,Sorcery,,no,3B,4.0,no,B,C,0.01
Agony Warp,MM3,Instant,,no,UB,2.0,no,UB,C,0.07
Agoraphobia,DDM,Enchantment,,no,1U,2.0,no,U,U,0.02
"Agrus Kos, Wojek Veteran",RAV,LegendaryCreature,,no,3RW,5.0,no,WR,R,0.28
Ahn-Crop Champion,AKH,Creature,,no,2GW,4.0,no,WG,U,0.07
Ahn-Crop Crasher,AKH,Creature,,no,2R,3.0,no,R,U,0.05
Ahn-Crop Invader,WAR,Creature,,no,2R,3.0,no,R,C,0.01
Aid from the Cowl,AER,Enchantment,,no,3GG,5.0,no,G,R,0.24
Aid the Fallen,WAR,Sorcery,,no,1B,2.0,no,B,C,0.05
Aim for the Head,VOW,Sorcery,,no,2B,3.0,no,B,C,0.02
Aim High,BBD,Instant,,no,1G,2.0,no,G,U,0.07
Ainok Artillerist,DTK,Creature,,no,2G,3.0,no,G,C,0.03
Ainok Bond-Kin,MIC,Creature,,no,1W,2.0,no,W,C,0.09
Ainok Guide,FRF,Creature,,no,1G,2.0,no,G,C,0.07
Ainok Survivalist,C19,Creature,,no,1G,2.0,no,G,C,0.05
Ainok Tracker,KTK,Creature,,no,5R,6.0,no,R,C,0.01
Air Bladder,NEM,Enchantment,,no,U,1.0,no,U,C,0.06
Airborne Aid,ONS,Sorcery,,no,3U,4.0,no,U,C,0.14
Air-Cult Elemental,AFR,Creature,,no,4UU,6.0,no,U,C,0.01
Airdrop Aeronauts,AER,Creature,,no,3WW,5.0,no,W,U,0.04
Airdrop Condor,ONS,Creature,,no,4R,5.0,no,R,U,0.11
Air Elemental,M20,Creature,,no,3UU,5.0,no,U,U,0.01
Air Servant,W16,Creature,,no,4U,5.0,no,U,U,0.02
Aisling Leprechaun,LEG,Creature,,no,G,1.0,no,G,C,1.18
"Ajani, Adversary of Tyrants",M19,LegendaryPlaneswalker,,no,2WW,4.0,no,W,M,3.98
"Ajani, Caller of the Pride",M14,LegendaryPlaneswalker,,no,1WW,3.0,no,W,M,3.66
Ajani Goldmane,M11,LegendaryPlaneswalker,,no,2WW,4.0,no,W,M,5.51
"Ajani, Inspiring Leader",M20,LegendaryPlaneswalker,,no,4WW,6.0,no,W,M,4.78
"Ajani, Mentor of Heroes",JOU,LegendaryPlaneswalker,,no,3GW,5.0,no,WG,M,10.72
Ajani's Aid,AER,Enchantment,,no,2GW,4.0,no,WG,R,0.11
Ajani's Chosen,JMP,Creature,,no,2WW,4.0,no,W,R,0.39
Ajani's Comrade,AER,Creature,,no,1G,2.0,no,G,U,0.17
Ajani's Influence,M19,Sorcery,,no,2WW,4.0,no,W,R,0.39
Ajani's Last Stand,M19,Enchantment,,no,2WW,4.0,no,W,R,0.08
Ajani's Mantra,DDH,Enchantment,,no,1W,2.0,no,W,C,0.26
Ajani's Presence,JOU,Instant,,no,W,1.0,no,W,C,0.18
Ajani's Pridemate,WAR,Creature,,no,1W,2.0,no,W,U,0.2
Ajani's Sunstriker,CNS,Creature,,no,WW,2.0,no,W,C,0.15
Ajani Steadfast,M15,LegendaryPlaneswalker,,no,3W,4.0,no,W,M,8.38
"Ajani, Strength of the Pride",M20,LegendaryPlaneswalker,,no,2WW,4.0,no,W,M,13.52
Ajani's Welcome,M19,Enchantment,,no,W,1.0,no,W,U,1.17
"Ajani, the Greathearted",WAR,LegendaryPlaneswalker,,no,2GW,4.0,no,WG,R,1.33
Ajani Unyielding,NCC,LegendaryPlaneswalker,,no,4GW,6.0,no,WG,M,0.42
"Ajani, Valiant Protector",AER,LegendaryPlaneswalker,,no,4GW,6.0,no,WG,M,2.34
Ajani Vengeant,DDH,LegendaryPlaneswalker,,no,2RW,4.0,no,WR,M,2.43
"Ajani, Wise Counselor",M19,LegendaryPlaneswalker,,no,3WW,5.0,no,W,M,6.61
"Akim, the Soaring Wind",C20,LegendaryCreature,,no,2URW,5.0,no,WUR,M,0.28
"Akiri, Fearless Voyager",ZNR,LegendaryCreature,,no,1RW,3.0,no,WR,R,0.3
"Akiri, Line-Slinger",C16,LegendaryCreature,,no,RW,2.0,no,WR,R,3.62
Akki Avalanchers,CHK,Creature,,no,R,1.0,no,R,C,0.07
Akki Battle Squad,NEC,Creature,,no,5R,6.0,no,R,R,0.27
Akki Blizzard-Herder,BOK,Creature,,no,1R,2.0,no,R,C,0.17
Akki Coalflinger,EVG,Creature,,no,1RR,3.0,no,R,U,0.12
Akki Drillmaster,SOK,Creature,,no,2R,3.0,no,R,C,0.09
Akki Ember-Keeper,NEO,EnchantmentCreature,,no,1R,2.0,no,R,C,0.01
"Akki Lavarunner//Tok-Tok, Volcano Born",CHK,Creature,LegendaryCreature,yes,3R,4.0,no,R,R,0.54
Akki Raider,BOK,Creature,,no,1R,2.0,no,R,U,0.15
Akki Rockspeaker,CHK,Creature,,no,1R,2.0,no,R,C,0.09
Akki Ronin,NEO,Creature,,no,1R,2.0,no,R,C,0.01
Akki Underling,SOK,Creature,,no,1R,2.0,no,R,C,0.07
Akki Underminer,CHK,Creature,,no,3R,4.0,no,R,U,0.21
Akki War Paint,NEO,Enchantment,,no,R,1.0,no,R,C,0.02
Akoum Battlesinger,WWK,Creature,,no,1R,2.0,no,R,C,0.13
Akoum Boulderfoot,ROE,Creature,,no,4RR,6.0,no,R,U,0.08
Akoum Firebird,BFZ,Creature,,no,2RR,4.0,no,R,M,0.34
Akoum Flameseeker,OGW,Creature,,no,2R,3.0,no,R,C,0.01
Akoum Hellhound,ZNR,Creature,,no,R,1.0,no,R,C,0.02
Akoum Hellkite,GN2,Creature,,no,4RR,6.0,no,R,R,0.23
Akoum Refuge,C19,Land,,no,,0.0,no,colorless,U,0.2
Akoum Stonewaker,BFZ,Creature,,no,1R,2.0,no,R,U,0.07
Akoum Warrior//Akoum Teeth,ZNR,Creature,Land,yes,5R,6.0,no,R,U,0.04
Akrasan Squire,ALA,Creature,,no,W,1.0,no,W,C,0.25
Akroan Conscriptor,BNG,Creature,,no,4R,5.0,no,R,U,0.18
Akroan Crusader,UMA,Creature,,no,R,1.0,no,R,C,0.1
Akroan Hoplite,CN2,Creature,,no,RW,2.0,no,WR,U,0.07
Akroan Horse,C16,ArtifactCreature,,no,4,4.0,no,colorless,R,0.22
Akroan Jailer,ORI,Creature,,no,W,1.0,no,W,C,0.01
Akroan Line Breaker,JOU,Creature,,no,2R,3.0,no,R,U,0.08
Akroan Mastiff,JOU,Creature,,no,3W,4.0,no,W,C,0.02
Akroan Phalanx,BNG,Creature,,no,3W,4.0,no,W,U,0.04
Akroan Sergeant,ORI,Creature,,no,2R,3.0,no,R,C,0.02
Akroan Skyguard,BNG,Creature,,no,1W,2.0,no,W,C,0.13
"Akroma, Angel of Fury",TSR,LegendaryCreature,,no,5RRR,8.0,no,R,M,0.88
"Akroma, Angel of Wrath",C20,LegendaryCreature,,no,5WWW,8.0,no,W,M,1.86
